panel,tenure,supersector,ref_date,emp_active_prior,emp_active_current,emp_qualified_prior,emp_qualified_current,emp_active_diff,emp_qualified_diff,emp_active_growth,emp_qualified_growth,emp_active_index,emp_qualified_index
0,1,80,2019-07-12,33541.0,34062.0,23990.0,24171.0,521.0,181.0,0.01553322798962464,0.0075448103376406835,108.75225638530482,106.07668200765255
0,1,80,2019-08-12,35307.0,35783.0,24988.0,25289.0,476.0,301.0,0.013481745829438922,0.012045781975348167,110.21842666426946,107.35445859178508
0,1,80,2019-09-12,36562.0,36517.0,25811.0,26301.0,-45.0,490.0,-0.0012307860620316175,0.01898415404284995,110.08277136095201,109.3924921708783
0,1,80,2019-10-12,37447.0,37956.0,27000.0,27413.0,509.0,413.0,0.013592544129035704,0.015296296296296296,111.57907628852229,111.06579214371433
0,1,80,2019-11-12,39136.0,39169.0,28287.0,28474.0,33.0,187.0,0.0008432134096484056,0.006610810619719305,111.67316126188493,111.80002706190552
0,1,80,2019-12-12,39846.0,40466.0,29024.0,29095.0,620.0,71.0,0.0155599056367013,0.0024462513781697906,113.410785113272,112.07351803218515
0,1,80,2020-01-12,41114.0,41146.0,29467.0,29552.0,32.0,85.0,0.0007783236853626502,0.0028845827535887605,113.49905541350122,112.3968033694348
0,1,80,2020-02-12,46276.0,47019.0,33349.0,34602.0,743.0,1253.0,0.01605583887976489,0.03757234099973013,115.32137796022593,116.61981439291085
0,1,80,2020-03-12,48241.0,48187.0,35414.0,34052.0,-54.0,-1362.0,-0.00111937978068448,-0.03845936635229005,115.19228954145657,112.13469022723781
0,1,80,2020-04-12,49745.0,45443.0,35152.0,23182.0,-4302.0,-11970.0,-0.0864810533721982,-0.34052116522530723,105.23033900155613,73.95045484887991
0,1,80,2020-05-12,46437.0,47367.0,23834.0,28348.0,930.0,4514.0,0.020027133535758124,0.18939330368381305,107.33780105275336,87.95617580162994
0,1,80,2020-06-12,48753.0,50558.0,29265.0,32665.0,1805.0,3400.0,0.03702336266486165,0.11617973688706647,111.31180738877823,98.17490116385586
0,1,80,2020-07-12,51896.0,52796.0,33569.0,34582.0,900.0,1013.0,0.01734237706181594,0.030176651076886413,113.24221872394666,101.13749090078537
0,1,80,2020-08-12,55149.0,55329.0,36188.0,36777.0,180.0,589.0,0.003263885111244084,0.016276113628827235,113.61182831560399,102.78361619482101
0,1,80,2020-09-12,56896.0,57585.0,37851.0,39033.0,689.0,1182.0,0.012109814398200225,0.031227708647063486,114.98764646994614,105.99331301504449
0,1,80,2020-10-12,58566.0,59268.0,39817.0,40877.0,702.0,1060.0,0.011986476795410306,0.026621794710801918,116.365943226117,108.81504523484875
0,1,80,2020-11-12,60838.0,61119.0,42054.0,42289.0,281.0,235.0,0.004618823761464874,0.005588053455081562,116.90341700971504,109.4231095243382
0,1,80,2020-12-12,61472.0,60867.0,42688.0,41604.0,-605.0,-1084.0,-0.009841879229567934,-0.025393553223388307,115.75286769798161,106.64446796876328
